Title	ISBN	Subjects
High Druid of Shannara	9780739321324	|Science Fiction - General||Fantasy - General||Audiobooks||Fiction||Abridged Audio - Fiction/Science Fiction & Fantasy||Fantasy||Fantasy - Epic||Fiction / Fantasy / General||Audio - Science Fiction / Fantasy|
Balance of Power	9780739342343	|Political||Fiction||Abridged Audio - Fiction/Suspense Thriller||Unabridged Audio - Fiction/General||Fiction / Thrillers||Thrillers||Audiobooks|
The King of Torts / The Last Juror	9780739357781	|Legal||Suspense||Fiction / Suspense||Mystery & Detective - General||Fiction||Abridged Audio - Fiction/General||Abridged Audio - Fiction/Mystery||Mystery/Suspense|
One Woman Short	9780743210973	|Fiction||Fiction - General||General|
Folly and Glory	9780743233057	|Sagas||Westerns - General||Historical - General||Mcmurtry, Larry - Prose & Criticism||Fiction - Historical||Westerns||West (U.S.)||Fiction / General||British||Berrybender family (Fictitious||Berrybender family (Fictitious characters)||Eccentrics and eccentricities||Fiction|
The Body	9780743249041	|Transplantation||Popular English Fiction||Fiction - Espionage / Thriller||Fiction||Technological||Fiction / General||Literary||Body, Human||Brain||Immortalism|
Dracula		|Classics||Horror||Juvenile Fiction||Children's Books/Ages 4-8 Fiction|
The Colors of Us	9780805081183	|People & Places - General||Juvenile Fiction / People & Places / General||Juvenile Fiction||Children's Books/Ages 4-8 Fiction||Fiction||Oversize books||Racially mixed people||Specimens||Children: Grades 1-2|
Tevye the Dairyman and The Railroad Stories (Library of Yiddish Classics)	9780805210699	|Modern fiction||Short stories||Short Stories (single author)||Short stories, Yiddish||Yiddish Literature||Literature - Classics / Criticism||Fiction||òTeòvye (Fictitious character : Sholem Aleichem)||Translations into English||European - German||Fiction / Short Stories (single author)||Jews||Russia|
Liam O'Flaherty	9780805783124	|Novels, other prose & writers: from c 1900 -||O'Flaherty, Liam,||O'flaherty, Liam - Prose & Criticism||Literature - Classics / Criticism||English||Literary Criticism||Technique||Criticism and interpretation||O'Flaherty, Liam||Fiction||1896-||Ireland in literature||Short story|
What's Up, Pig?	9780806975856	|Specimens||Juvenile Fiction||Concepts - Opposites||Children's Baby - Lift the Flap||Toy and movable books||Children: Kindergarten||Synonyms and antonyms||Pigs||Animals - General||Juvenile Fiction / Animals / General||LITERATURE - LIT CLASSICS TRD PB||English language||Fiction|
Bet Your Bottom Dollar	9780743262996	|Popular American Fiction||Fiction - General||Fiction||General||Fiction / General|
A Family Daughter	9780743277679	|Popular American Fiction||Fiction||Fiction - General||Literary||Fiction / Literary||General|
The Chinatown Death Cloud Peril	9780743287852	|Gibson, Walter Brown,||Mystery & Detective - General||Fiction||Mystery And Suspense Fiction||Popular American Fiction||Mystery & Detective - Historical||Fiction - Mystery/ Detective||Literary||Mystery/Suspense||Historical - General||Mystery & Detective - Hard-Boiled||Fiction / Historical||20th century||1897-||1904-1959||Authors, American||Dent, Lester,|
Look Homeward, Angel	9780743297318	|Wolfe, Thomas, 1900-1938||Fiction||Literature - Classics / Criticism||Literature: Classics||Classics||Fiction / General||Literary||Bildungsromane||Boys||Mountain life|
The Midnight Man	9780743400022	|Mystery & Detective - Series||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Crime & mystery||Fiction / Mystery & Detective / General||Mystery & Detective - General|
Year Zero	9780743406123	|Adventure / thriller||Science Fiction - General||Fiction - Science Fiction||Fiction||Action & Adventure||Thrillers||Fiction / Suspense||Suspense|
Liberation Day	9780743406314	|Popular American Fiction||Fiction - Espionage / Thriller||Fiction||Suspense||Thrillers||Espionage/Intrigue|
Address Unknown	9780743412711	|Literary||Fiction - General||Fiction||Politics and government||Classics||Historical - General||Fiction / Classics||1933-1945||Germany|
Bury Me Deep	9780743424240	|Juvenile Fiction||Hawaii||Children's 12-Up - Fiction - Horror||Children: Young Adult (Gr. 7-9)||Horror & Ghost Stories||Juvenile Fiction / Horror & Ghost Stories||Fiction||Horror stories|
Farmer's Wife	9780743483742	|Sagas||Romance - General||Fiction||Fiction - Romance||Romance: Modern||FICTION_SAGAS||Fiction / Family Saga||Historical - General||Cornwall||Cornwall (England)||England||Farmers' spouses||Social life and customs|
Isaac Asimov's Robot City: Book 6	9780743487221	|Science fiction||Science Fiction - Adventure||Fiction - Science Fiction||Fiction||Action & Adventure||Fiction / Science Fiction / Adventure|
Constellations	9780743492546	|Science Fiction||Science Fiction And Fantasy||Fiction||Fiction - Science Fiction||Science Fiction - Space Opera||Science Fiction - Star Trek||Fiction / Science Fiction / General||Science Fiction - Adventure||Science fiction, American||Star Trek fiction|
Blood Moon	9780743498456	|Mystery & Detective - Police Procedural||Fiction||Fiction - Mystery/ Detective||Mystery/Suspense||Thrillers||Fiction / General||Mystery & Detective - General|
Star Trek Gateways 	9780743509442	|Science fiction||Science Fiction - Star Trek||Audiobooks||Fiction||Abridged Audio - Fiction/Science Fiction & Fantasy||Audio Adult: Books On Tape||Science fiction, American||Fiction / Science Fiction / General||Science Fiction - Adventure||Star Trek fiction|
Now You See Her	9780743527538	|Suspense||Fiction||Abridged Audio - Fiction/Mystery||Unabridged Audio - Fiction/Mystery||Audio Adult: Books On Tape||Mystery & Detective - General||Fiction / General||Audiobooks||General|
Monday Mourning	9780743536424	|Suspense||Fiction||Abridged Audio - Fiction/Mystery||Mystery/Suspense||Thrillers||Mystery & Detective - Women Sleuths||Fiction / General||Audiobooks|
